HWT,CWT,WBT,LG,ALT,KaVL
47.29,32.86,20.00,1.243,0.0,0.82293
47.32,32.88,20.00,1.244,0.0,0.82174
47.35,32.90,20.00,1.245,0.0,0.82056
47.38,32.92,20.00,1.246,0.0,0.81938
47.41,32.94,20.00,1.247,0.0,0.8182
47.44,32.96,20.00,1.248,0.0,0.81703
47.47,32.98,20.00,1.249,0.0,0.81585
47.50,33.00,20.00,1.250,0.0,0.81468
47.53,33.02,20.00,1.251,0.0,0.81352
47.56,33.04,20.00,1.252,0.0,0.81235
47.59,33.06,20.00,1.253,0.0,0.81119
47.62,33.08,20.00,1.254,0.0,0.81003
47.65,33.10,20.00,1.255,0.0,0.80888
47.68,33.12,20.00,1.256,0.0,0.80772
47.71,33.14,20.00,1.257,0.0,0.80657
47.74,33.16,20.00,1.258,0.0,0.80542
47.77,33.18,20.00,1.259,0.0,0.80428
47.80,33.20,20.00,1.260,0.0,0.80313
47.83,33.22,20.00,1.261,0.0,0.80199
47.86,33.24,20.00,1.262,0.0,0.80085
47.89,33.26,20.00,1.263,0.0,0.79972
47.92,33.28,20.00,1.264,0.0,0.79858
47.95,33.30,20.00,1.265,0.0,0.79745
47.98,33.32,20.00,1.266,0.0,0.79632
48.01,33.34,20.00,1.267,0.0,0.7952
48.04,33.36,20.00,1.268,0.0,0.79407
48.07,33.38,20.00,1.269,0.0,0.79295
48.10,33.40,20.00,1.270,0.0,0.79183
48.13,33.42,20.00,1.271,0.0,0.79072
48.16,33.44,20.00,1.272,0.0,0.7896
48.19,33.46,20.00,1.273,0.0,0.78849
48.22,33.48,20.00,1.274,0.0,0.78738
48.25,33.50,20.00,1.275,0.0,0.78627
48.28,33.52,20.00,1.276,0.0,0.78517
48.31,33.54,20.00,1.277,0.0,0.78407
48.34,33.56,20.00,1.278,0.0,0.78297
48.37,33.58,20.00,1.279,0.0,0.78187
48.40,33.60,20.00,1.280,0.0,0.78077
48.43,33.62,20.00,1.281,0.0,0.77968
48.46,33.64,20.00,1.282,0.0,0.77859
48.49,33.66,20.00,1.283,0.0,0.7775
48.52,33.68,20.00,1.284,0.0,0.77642
48.55,33.70,20.00,1.285,0.0,0.77533
48.58,33.72,20.00,1.286,0.0,0.77425
48.61,33.74,20.00,1.287,0.0,0.77317
48.64,33.76,20.00,1.288,0.0,0.7721
48.67,33.78,20.00,1.289,0.0,0.77102
48.70,33.80,20.00,1.290,0.0,0.76995
48.73,33.82,20.00,1.291,0.0,0.76888
48.76,33.84,20.00,1.292,0.0,0.76781
48.79,33.86,20.00,1.293,0.0,0.76675
48.82,33.88,20.00,1.294,0.0,0.76568
48.85,33.90,20.00,1.295,0.0,0.76462
48.88,33.92,20.00,1.296,0.0,0.76356
48.91,33.94,20.00,1.297,0.0,0.76251
48.94,33.96,20.00,1.298,0.0,0.76145
48.97,33.98,20.00,1.299,0.0,0.7604
49.00,34.00,20.00,1.300,0.0,0.75935
49.03,34.02,20.00,1.301,0.0,0.7583
49.06,34.04,20.00,1.302,0.0,0.75726
49.09,34.06,20.00,1.303,0.0,0.75621
49.12,34.08,20.00,1.304,0.0,0.75517
49.15,34.10,20.00,1.305,0.0,0.75413
49.18,34.12,20.00,1.306,0.0,0.7531
49.21,34.14,20.00,1.307,0.0,0.75206
49.24,34.16,20.00,1.308,0.0,0.75103
49.27,34.18,20.00,1.309,0.0,0.75
49.30,34.20,20.00,1.310,0.0,0.74897
49.33,34.22,20.00,1.311,0.0,0.74794
49.36,34.24,20.00,1.312,0.0,0.74692
49.39,34.26,20.00,1.313,0.0,0.74589
49.42,34.28,20.00,1.314,0.0,0.74487
49.45,34.30,20.00,1.315,0.0,0.74386
49.48,34.32,20.00,1.316,0.0,0.74284
49.51,34.34,20.00,1.317,0.0,0.74183
49.54,34.36,20.00,1.318,0.0,0.74081
49.57,34.38,20.00,1.319,0.0,0.7398
49.60,34.40,20.00,1.320,0.0,0.73879
49.63,34.42,20.00,1.321,0.0,0.73779
49.66,34.44,20.00,1.322,0.0,0.73678
49.69,34.46,20.00,1.323,0.0,0.73578
49.72,34.48,20.00,1.324,0.0,0.73478
49.75,34.50,20.00,1.325,0.0,0.73378
49.78,34.52,20.00,1.326,0.0,0.73279
49.81,34.54,20.00,1.327,0.0,0.73179
49.84,34.56,20.00,1.328,0.0,0.7308
49.87,34.58,20.00,1.329,0.0,0.72981
49.90,34.60,20.00,1.330,0.0,0.72882
49.93,34.62,20.00,1.331,0.0,0.72784
49.96,34.64,20.00,1.332,0.0,0.72685
49.99,34.66,20.00,1.333,0.0,0.72587
50.02,34.68,20.00,1.334,0.0,0.72489
50.05,34.70,20.00,1.335,0.0,0.72391
50.08,34.72,20.00,1.336,0.0,0.72293
50.11,34.74,20.00,1.337,0.0,0.72196
50.14,34.76,20.00,1.338,0.0,0.72099
50.17,34.78,20.00,1.339,0.0,0.72002
50.20,34.80,20.00,1.340,0.0,0.71905
50.23,34.82,20.00,1.341,0.0,0.71808
50.26,34.84,20.00,1.342,0.0,0.71711
50.29,34.86,20.00,1.343,0.0,0.71615
50.32,34.88,20.00,1.344,0.0,0.71519
50.35,34.90,20.00,1.345,0.0,0.71423
50.38,34.92,20.00,1.346,0.0,0.71327
50.41,34.94,20.00,1.347,0.0,0.71232
50.44,34.96,20.00,1.348,0.0,0.71136
50.47,34.98,20.00,1.349,0.0,0.71041
50.50,35.00,20.00,1.350,0.0,0.70946
50.53,35.02,20.00,1.351,0.0,0.70851
50.56,35.04,20.00,1.352,0.0,0.70756
50.59,35.06,20.00,1.353,0.0,0.70662
50.62,35.08,20.00,1.354,0.0,0.70567
50.65,35.10,20.00,1.355,0.0,0.70473
50.68,35.12,20.00,1.356,0.0,0.70379
50.71,35.14,20.00,1.357,0.0,0.70286
50.74,35.16,20.00,1.358,0.0,0.70192
50.77,35.18,20.00,1.359,0.0,0.70099
50.80,35.20,20.00,1.360,0.0,0.70005
50.83,35.22,20.00,1.361,0.0,0.69912
50.86,35.24,20.00,1.362,0.0,0.69819
50.89,35.26,20.00,1.363,0.0,0.69727
50.92,35.28,20.00,1.364,0.0,0.69634
50.95,35.30,20.00,1.365,0.0,0.69542
50.98,35.32,20.00,1.366,0.0,0.69449
51.01,35.34,20.00,1.367,0.0,0.69357
51.04,35.36,20.00,1.368,0.0,0.69266
51.07,35.38,20.00,1.369,0.0,0.69174
51.10,35.40,20.00,1.370,0.0,0.69082
51.13,35.42,20.00,1.371,0.0,0.68991
51.16,35.44,20.00,1.372,0.0,0.689
51.19,35.46,20.00,1.373,0.0,0.68809
51.22,35.48,20.00,1.374,0.0,0.68718
51.25,35.50,20.00,1.375,0.0,0.68627
51.28,35.52,20.00,1.376,0.0,0.68537
51.31,35.54,20.00,1.377,0.0,0.68446
51.34,35.56,20.00,1.378,0.0,0.68356
51.37,35.58,20.00,1.379,0.0,0.68266
51.40,35.60,20.00,1.380,0.0,0.68176
51.43,35.62,20.00,1.381,0.0,0.68087
51.46,35.64,20.00,1.382,0.0,0.67997
51.49,35.66,20.00,1.383,0.0,0.67908
51.52,35.68,20.00,1.384,0.0,0.67819
