dbt,wbt,alt,dp_bin,dp_js,dp_ok,h_bin,h_js,h_ok,hr_bin,hr_js,hr_ok
40.2,30.1,500,27.44,27.44,1,104.549,104.5492,0,0.0249,0.0249,1
26.1,23.1,500,22.0,22.0,1,71.6045,71.6045,1,0.0178,0.0178,1
26.6,15.1,500,7.19,7.19,1,43.8661,43.8662,0,0.0067,0.0067,1
25.4,10.9,500,-4.48,-4.48,1,32.5806,32.5807,0,0.0028,0.0028,1
31.5,29.0,500,28.34,28.34,1,98.9648,98.965,0,0.0263,0.0263,1
46.1,34.2,500,31.67,31.67,1,129.4332,129.4337,0,0.0321,0.0321,1
15.6,10.5,500,6.36,6.36,1,31.7118,31.7119,0,0.0063,0.0063,1
15.9,10.7,500,6.52,6.52,1,32.2018,32.2018,1,0.0064,0.0064,1
42.4,33.6,500,31.7,31.7,1,125.6422,125.6426,0,0.0322,0.0322,1
52.4,39.2,500,37.04,37.04,1,167.2002,167.2014,0,0.0441,0.0441,1
46.2,38.0,500,36.6,36.6,1,157.5856,157.5865,0,0.043,0.043,1
41.2,33.2,500,31.44,31.44,1,123.104,123.1044,0,0.0317,0.0317,1
52.0,38.2,500,35.81,35.81,1,158.8405,158.8415,0,0.0411,0.0411,1
23.6,16.1,500,11.67,11.67,1,46.9114,46.9115,0,0.0091,0.0091,1
54.2,51.3,500,51.05,51.05,1,311.0283,311.0368,0,0.0987,0.0987,1
42.5,39.3,500,38.8,38.8,1,168.7314,168.7326,0,0.0489,0.0489,1
42.3,40.3,500,40.0,40.0,1,177.6245,177.6259,0,0.0524,0.0524,1
30.6,29.1,500,28.71,28.71,1,99.5398,99.54,0,0.0269,0.0269,1
29.3,23.8,500,21.82,21.82,1,74.3983,74.3984,0,0.0176,0.0176,1
32.5,13.0,500,-8.03,-8.03,1,37.8895,37.8896,0,0.002,0.002,1
42.8,28.4,500,24.09,24.09,1,95.313,95.3132,0,0.0203,0.0203,1
53.3,48.9,500,48.47,48.47,1,274.8495,274.8554,0,0.0852,0.0852,1
