alt_m,T_C,P_kPa,f_bin
500,2,95.460812,1.00377252340854
500,3,95.460812,1.00376911961747
500,4,95.460812,1.00376680746779
500,5,95.460812,1.00376559688064
500,6,95.460812,1.00376550158768
500,7,95.460812,1.00376653876978
500,8,95.460812,1.00376872869575
500,9,95.460812,1.00377209436107
500,10,95.460812,1.00377666112662
500,11,95.460812,1.00378245635743
500,12,95.460812,1.00378950906136
500,13,95.460812,1.00379784952787
500,14,95.460812,1.00380750896673
500,15,95.460812,1.00381851914675
500,16,95.460812,1.00383091203452
500,17,95.460812,1.00384471943310
500,18,95.460812,1.00385997262080
500,19,95.460812,1.00387670198988
500,20,95.460812,1.00389493668528
500,21,95.460812,1.00391470424333
500,22,95.460812,1.00393603023054
500,23,95.460812,1.00395893788225
500,24,95.460812,1.00398344774140
500,25,95.460812,1.00400957729726
500,26,95.460812,1.00403734062414
500,27,95.460812,1.00406674802015
500,28,95.460812,1.00409780564587
500,29,95.460812,1.00413051516315
500,30,95.460812,1.00416487337377
500,31,95.460812,1.00420087185823
500,32,95.460812,1.00423849661443
500,33,95.460812,1.00427772769642
500,34,95.460812,1.00431853885311
500,35,95.460812,1.00436089716705
500,36,95.460812,1.00440476269308
500,37,95.460812,1.00445008809712
500,38,95.460812,1.00449681829488
500,39,95.460812,1.00454489009056
500,40,95.460812,1.00459423181563
500,41,95.460812,1.00464476296751
500,42,95.460812,1.00469639384834
500,43,95.460812,1.00474902520367
500,44,95.460812,1.00480254786121
500,45,95.460812,1.00485684236954
500,46,95.460812,1.00491177863688
500,47,95.460812,1.00496721556977
500,48,95.460812,1.00502300071180
500,49,95.460812,1.00507896988240
500,50,95.460812,1.00513494681547
500,51,95.460812,1.00519074279821
500,52,95.460812,1.00524615630977
500,53,95.460812,1.00530097266001
500,54,95.460812,1.00535496362824
500,55,95.460812,1.00540788710191
500,56,95.460812,1.00545948671538
500,57,95.460812,1.00550949148862
500,58,95.460812,1.00555761546595
500,59,95.460812,1.00560355735478
1000,-5,89.874519,1.00362995706826
1000,-4,89.874519,1.00362041132937
1000,-3,89.874519,1.00361191716807
1000,-2,89.874519,1.00360445847398
1000,-1,89.874519,1.00359802498229
1000,0,89.874519,1.00359261191256
1000,1,89.874519,1.00358821960738
1000,2,89.874519,1.00358485317117
1000,3,89.874519,1.00358252210885
1000,4,89.874519,1.00358123996459
1000,5,89.874519,1.00358102396055
1000,6,89.874519,1.00358189463558
1000,7,89.874519,1.00358387548398
1000,8,89.874519,1.00358699259420
1000,9,89.874519,1.00359127428759
1000,10,89.874519,1.00359675075709
1000,11,89.874519,1.00360345370603
1000,12,89.874519,1.00361141598679
1000,13,89.874519,1.00362067123954
1000,14,89.874519,1.00363125353100
1000,15,89.874519,1.00364319699315
1000,16,89.874519,1.00365653546193
1000,17,89.874519,1.00367130211603
1000,18,89.874519,1.00368752911555
1000,19,89.874519,1.00370524724078
1000,20,89.874519,1.00372448553091
1000,21,89.874519,1.00374527092275
1000,22,89.874519,1.00376762788945
1000,23,89.874519,1.00379157807927
1000,24,89.874519,1.00381713995426
1000,25,89.874519,1.00384432842902
1000,26,89.874519,1.00387315450941
1000,27,89.874519,1.00390362493130
1000,28,89.874519,1.00393574179925
1000,29,89.874519,1.00396950222531
1000,30,89.874519,1.00400489796768
1000,31,89.874519,1.00404191506948
1000,32,89.874519,1.00408053349746
1000,33,89.874519,1.00412072678074
1000,34,89.874519,1.00416246164952
1000,35,89.874519,1.00420569767384
1000,36,89.874519,1.00425038690226
1000,37,89.874519,1.00429647350063
1000,38,89.874519,1.00434389339081
1000,39,89.874519,1.00439257388938
1000,40,89.874519,1.00444243334637
1000,41,89.874519,1.00449338078403
1000,42,89.874519,1.00454531553549
1000,43,89.874519,1.00459812688355
1000,44,89.874519,1.00465169369937
1000,45,89.874519,1.00470588408120
1000,46,89.874519,1.00476055499315
1000,47,89.874519,1.00481555190384
1000,48,89.874519,1.00487070842522
1000,49,89.874519,1.00492584595121
1000,50,89.874519,1.00498077329651
1000,51,89.874519,1.00503528633525
1000,52,89.874519,1.00508916763979
1000,53,89.874519,1.00514218611939
1000,54,89.874519,1.00519409665897
1000,55,89.874519,1.00524463975784
1000,56,89.874519,1.00529354116840
1000,57,89.874519,1.00534051153490
1000,58,89.874519,1.00538524603215
1000,59,89.874519,1.00542742400426
1500,-5,84.555932,1.00344058150765
1500,-4,84.555932,1.00343259534982
1500,-3,84.555932,1.00342557580705
1500,-2,84.555932,1.00341951601333
1500,-1,84.555932,1.00341441447814
1500,0,84.555932,1.00341027472517
1500,1,84.555932,1.00340710493106
1500,2,84.555932,1.00340491756412
1500,3,84.555932,1.00340372902308
1500,4,84.555932,1.00340355927577
1500,5,84.555932,1.00340443149791
1500,6,84.555932,1.00340637171177
1500,7,84.555932,1.00340940842496
1500,8,84.555932,1.00341357226912
1500,9,84.555932,1.00341889563867
1500,10,84.555932,1.00342541232952
1500,11,84.555932,1.00343315717780
1500,12,84.555932,1.00344216569861
1500,13,84.555932,1.00345247372472
1500,14,84.555932,1.00346411704532
1500,15,84.555932,1.00347713104472
1500,16,84.555932,1.00349155034111
1500,17,84.555932,1.00350740842528
1500,18,84.555932,1.00352473729932
1500,19,84.555932,1.00354356711540
1500,20,84.555932,1.00356392581445
1500,21,84.555932,1.00358583876491
1500,22,84.555932,1.00360932840144
1500,23,84.555932,1.00363441386370
1500,24,84.555932,1.00366111063499
1500,25,84.555932,1.00368943018108
1500,26,84.555932,1.00371937958885
1500,27,84.555932,1.00375096120507
1500,28,84.555932,1.00378417227511
1500,29,84.555932,1.00381900458168
1500,30,84.555932,1.00385544408352
1500,31,84.555932,1.00389347055419
1500,32,84.555932,1.00393305722075
1500,33,84.555932,1.00397417040251
1500,34,84.555932,1.00401676914974
1500,35,84.555932,1.00406080488241
1500,36,84.555932,1.00410622102893
1500,37,84.555932,1.00415295266486
1500,38,84.555932,1.00420092615164
1500,39,84.555932,1.00425005877532
1500,40,84.555932,1.00430025838529
1500,41,84.555932,1.00435142303301
1500,42,84.555932,1.00440344061073
1500,43,84.555932,1.00445618849025
1500,44,84.555932,1.00450953316158
1500,45,84.555932,1.00456332987173
1500,46,84.555932,1.00461742226342
1500,47,84.555932,1.00467164201382
1500,48,84.555932,1.00472580847322
1500,49,84.555932,1.00477972830385
1500,50,84.555932,1.00483319511853
1500,51,84.555932,1.00488598911944
1500,52,84.555932,1.00493787673684
1500,53,84.555932,1.00498861026777
1500,54,84.555932,1.00503792751483
1500,55,84.555932,1.00508555142487
1500,56,84.555932,1.00513118972773
1500,57,84.555932,1.00517453457496
1500,58,84.555932,1.00521526217857
1500,59,84.555932,1.00525303244971
